time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447250000	19.3865	8.38868	4.84528	1.13326	0.411215	radar	2.28226	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4816	8.53745	4.7481	1.13749	0.394058	lidar	3.91819	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5724	8.74663	4.72464	1.16071	0.402036	radar	0.570407	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.734	8.92053	4.70317	1.14596	0.363534	lidar	4.17207	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8073	9.14236	4.67972	1.17954	0.388719	radar	1.01125	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9376	9.36702	4.71146	1.18522	0.373193	lidar	2.983	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.983	9.58913	4.66163	1.23008	0.416291	radar	2.72459	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0705	9.82816	4.69281	1.25057	0.415665	lidar	0.737934	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.131	10.0765	4.73415	1.27688	0.416554	radar	7.13567	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1791	10.3479	4.78933	1.31335	0.433199	lidar	0.904983	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1953	10.5836	4.75553	1.36101	0.474221	radar	2.99968	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2538	10.8561	4.81563	1.3874	0.476373	lidar	2.01035	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2828	11.112	4.84463	1.41669	0.478964	radar	4.88462	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.317	11.3508	4.84358	1.44047	0.4788	lidar	0.000355564	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2632	11.5991	4.79732	1.51721	0.562776	radar	10.886	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3347	11.8399	4.80897	1.52161	0.53704	lidar	4.71246	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3604	12.074	4.82649	1.52714	0.49532	radar	3.61689	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3472	12.3605	4.89253	1.56462	0.507607	lidar	1.13767	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2974	12.599	4.85684	1.62306	0.563842	radar	3.33275	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3224	12.8387	4.85304	1.63523	0.546925	lidar	1.81476	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3097	13.07	4.83353	1.66196	0.550084	radar	2.11017	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2747	13.2838	4.7947	1.69166	0.553197	lidar	1.04433	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2361	13.5184	4.79553	1.71837	0.547583	radar	1.2868	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2154	13.777	4.82615	1.73962	0.540511	lidar	1.29075	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1596	14.0044	4.80773	1.77629	0.558415	radar	0.878155	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1042	14.2596	4.83971	1.80552	0.559156	lidar	0.349054	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0323	14.4884	4.83562	1.8373	0.562045	radar	1.38913	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9236	14.7429	4.88232	1.88062	0.577046	lidar	1.23855	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8571	14.9609	4.86413	1.89793	0.554256	radar	3.386	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8262	15.1791	4.82798	1.90758	0.536214	lidar	2.13854	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6939	15.3892	4.80294	1.9824	0.628868	radar	7.99018	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6645	15.5781	4.72627	1.99031	0.605939	lidar	3.5784	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5708	15.7832	4.71113	2.01699	0.599265	radar	1.33771	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4669	15.9968	4.71467	2.04635	0.598571	lidar	0.0122871	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3656	16.2049	4.71312	2.06259	0.569432	radar	1.81026	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2561	16.3826	4.67013	2.09247	0.571794	lidar	0.694678	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1384	16.5792	4.66316	2.12224	0.574926	radar	0.275054	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0078	16.7894	4.68585	2.15112	0.574606	lidar	0.140283	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
